age_group,cases,attr,cases_rank,attr_rank
UNDER5,4.557402029998461,4.487623512215665,8.0,8.0
AGE517,13.865922689282252,15.000387551760667,4.0,4.0
AGE1829,19.313805066139103,18.442173405910562,1.0,1.0
AGE3039,16.593063646247693,15.067354238714307,3.0,3.0
AGE4049,13.782543686690158,12.304862595446345,5.0,6.0
AGE5064,18.147781113977864,15.627479318223335,2.0,2.0
AGE6574,7.6281262963007865,12.411706750665205,6.0,5.0
AGE75PLUS,6.111355471363671,6.658412627063907,7.0,7.0
